round,train_loss,Kappa,OA_total,MIoU_mean,F1_mean,OA_roads,MIoU_roads,F1_roads,OA_buildings,MIoU_buildings,F1_buildings,OA_low veg.,MIoU_low veg.,F1_low veg.,OA_trees,MIoU_trees,F1_trees,OA_cars,MIoU_cars,F1_cars,OA_clutter,MIoU_clutter,F1_clutter
1,0.5428317827284336,0.8730141877894724,90.60822195226464,0.785183980385101,0.8755908037694757,0.9140161082682102,0.8541275426060413,0.921325553910423,0.9805238738272751,0.920163892213372,0.9584222429604168,0.6979274539998829,0.6324300852113801,0.7748326754581811,0.9484290059097242,0.8274135819705698,0.9055570015829019,0.7851180747526517,0.6917847999241419,0.8178165449354562,0.0,0.0,0.0
2,0.39196585257351396,0.8751293336605401,90.70869896635162,0.7930234437414253,0.8813443960471176,0.9109915670437196,0.8536379908007498,0.9210406724907362,0.9659408436040404,0.925619259327323,0.9613730802117858,0.8400281116611718,0.6703795143623806,0.8026673083551061,0.8811300867791548,0.8183615149081779,0.900108705775708,0.7483067320432885,0.6971189393084953,0.8215322134022521,0.0,0.0,0.0
3,0.3481865750849247,0.8728220001670955,90.53641386664253,0.8010845335442982,0.8872099175460633,0.8635865509802024,0.8409996195319371,0.9136336701098897,0.9863297576022779,0.9149315034751159,0.955576219634746,0.8458957319194821,0.6751157756508058,0.8060526746439528,0.8937610978063906,0.8260710937250143,0.9047523905982285,0.8438830484876612,0.7483046753386177,0.8560346327434987,0.0,0.0,0.0
4,0.3065901475250721,0.8725548595566878,90.55230962216469,0.7989931174204916,0.8852105960634521,0.9090104519535881,0.8454564549710919,0.9162572789985831,0.9566497699498078,0.9210422970004251,0.9588985088340523,0.7271921755876405,0.6450832915925443,0.7842560858642762,0.959615367104053,0.8262741765013972,0.9048741827848596,0.8493311003046874,0.7571093670369993,0.8617669238354893,0.0,0.0,0.0
5,0.2818696452528238,0.8835670984847922,91.36152237214452,0.8084996575778183,0.8911863190924727,0.9316563167036642,0.8608567646333074,0.9252262516862164,0.9695460789124437,0.9337669413849481,0.9657492031756338,0.7783347285812223,0.6704451067282209,0.8027143232995819,0.9190900481701709,0.83526605428666,0.9102397468047926,0.8081747681214982,0.7421634208559552,0.8520020704961391,0.0,0.0,0.0
6,0.2685204595774412,0.8820597078274817,91.22477927668655,0.8123646766820615,0.8936836269948346,0.9138885159641285,0.8664953274440163,0.9284730743265212,0.9727891495159366,0.9379756101420588,0.9679952680862713,0.8295423931429595,0.6719767032991567,0.8038110841774377,0.8937663336945337,0.8214604043673955,0.9019799743082462,0.8498960834560827,0.76391533815768,0.8661587340756963,0.0,0.0,0.0
7,0.24630939966440202,0.8860409048464204,91.53472388195846,0.8173536528733644,0.8970066754370862,0.8895631368557552,0.8627732260431671,0.9263320021791783,0.9872482618767987,0.9353663976060412,0.966603945137258,0.8095335048971478,0.6822482384465056,0.8111148198633714,0.9280192862801518,0.8358222725960529,0.9105699228870441,0.8557006127376797,0.7705581296750552,0.8704126871185791,0.0,0.0,0.0
8,0.23429700535535813,0.8906802602796225,91.89336833039413,0.8225098724775025,0.8999082020707341,0.9344604333767313,0.8728772960355194,0.9321243819690846,0.9813236234836888,0.9431362329001522,0.9707360883210037,0.7739081754636185,0.6780792125889658,0.8081611493688846,0.9239091140877261,0.8388609958287525,0.9123702093106695,0.8643838656954337,0.7795956250341225,0.8761491813840285,0.0,0.0,0.0
9,0.22236758111417293,0.886296793967305,91.5406805476399,0.8207724609920621,0.8989684612240554,0.9146734271854865,0.8641721239213888,0.9271376959586276,0.9693666561742167,0.9399788144533778,0.9690609066967908,0.8203285894905106,0.676967410167009,0.8073709793794858,0.9139008277256212,0.8374098483418353,0.9115112222758065,0.9090578905950484,0.7853341080766996,0.8797615018095659,0.021879021879021878,0.011384563870751716,0.022512829001820892
10,0.2131262849494815,0.8809140702578677,91.14922635471011,0.8142674217881265,0.8952157082953434,0.9300098972496885,0.8562042469626364,0.9225323650278998,0.959904457852898,0.9257515235164933,0.9614444150365119,0.8104264635461345,0.675202444517731,0.8061144451256015,0.9012429543157378,0.8344766183047007,0.9097707869134549,0.8595882348984711,0.7797022756390702,0.8762165293732496,0.043114543114543116,0.031184547358622295,0.06048296095689461
11,0.20587792985141276,0.8864556142016731,91.56886298678984,0.8172470098527163,0.8967448049195921,0.9244147769788515,0.8647583628645975,0.9274749802287265,0.9744253447433655,0.9381107786775164,0.9680672425934733,0.7935853047669247,0.6751061727772736,0.8060458301075552,0.9170412223749989,0.8368327199573892,0.9111692217425242,0.857220686454529,0.7714270149868049,0.8709667499256819,0.38996138996138996,0.292118582791034,0.4521544487968663
12,0.1949336416348815,0.8855293303252256,91.49775069402509,0.817897649136112,0.8971615962664053,0.9079564104725598,0.8686512982015252,0.9297093567296955,0.9831460643078386,0.9366285231727128,0.9672774225572863,0.798138635964323,0.6737608246715119,0.8050861446153664,0.9179030950928345,0.831601675442687,0.9080595269074472,0.8773246702583453,0.7788459241921231,0.8756755305222312,0.263996138996139,0.1369668642016526,0.2409337835853766
13,0.18950517186522484,0.8885231375731152,91.7307111936383,0.8200463484203528,0.898178079256261,0.9214784888325512,0.8735887687958612,0.9325298948683483,0.9786558858126403,0.946369923861715,0.9724461031375373,0.7633104926086313,0.6685990335248702,0.8013896929000046,0.9413689798668718,0.8311690191151219,0.9078015305400576,0.8788312919953994,0.7805049968041957,0.8767231748353569,0.0,0.0,0.0
14,0.1852184429615736,0.8884056750104173,91.71853199020799,0.8225828980728611,0.9000641135949008,0.9074023310052421,0.8691936432210248,0.9300199006917402,0.9883546713622685,0.9383751098387316,0.9682079645737943,0.7879192203148092,0.6765888411849573,0.8071016871456294,0.9278257860661634,0.8387318626515857,0.912293825639235,0.8851402705193137,0.7900250334680058,0.8826971899241055,0.0,0.0,0.0
15,0.1784735501408577,0.8882907406989292,91.70949799676711,0.8204524993927865,0.8987373303666757,0.9195406677053055,0.8667482703523961,0.9286182653741261,0.9856590890525022,0.9402672979706027,0.9692141891522503,0.7944603491220273,0.6777444959607264,0.807923372828745,0.9140401478796929,0.8385066693620334,0.912160595700202,0.8421948250233728,0.7789957633181742,0.8757702287780552,0.4277670527670528,0.2737286390776199,0.4298068374686818
16,0.1729902125597,0.8901125995595378,91.84383692991301,0.824018515105206,0.9009002060280696,0.9291966784372129,0.8737949402414846,0.9326473473440745,0.9794967570215973,0.9414068183844251,0.9698192150863392,0.7888772905319512,0.6789057846642994,0.8087479248277746,0.9192812719110537,0.8378979213266327,0.9118002818370028,0.8867007001755484,0.7880871109091887,0.8814862610451568,0.0,0.0,0.0
17,0.16757185479998588,0.8872699841631008,91.62190729267282,0.8205363997169879,0.8986674278444251,0.9199937973072404,0.8659138025138223,0.9281391255557828,0.9749219382007606,0.9443334544944678,0.9713698566586637,0.8029369106800197,0.6734763876567967,0.8048830477970461,0.9164541199610268,0.8359743038017267,0.9106601351344473,0.8961103600422392,0.7829840501181256,0.878284974076186,0.0,0.0,0.0
18,0.16832378770411013,0.8796590520028543,91.07161999527652,0.8121664682208827,0.8935220988358626,0.9259329796965884,0.8544379289216864,0.9215060969104775,0.9626503817942532,0.9300229441439521,0.9637428891359188,0.752010018224349,0.6576861775047379,0.7934990186076497,0.9359509738751947,0.8333678930816654,0.9091114731816065,0.9002333918494454,0.7853173974523713,0.8797510163436606,0.37065637065637064,0.170540340488527,0.29138737827241684
19,0.159779753677547,0.8855484787668532,91.51355593990725,0.8179351105181137,0.8968476576354398,0.9252893982867663,0.8648361142578777,0.92751969746365,0.9784897399882388,0.9414804969588126,0.9698583101232003,0.753772853643664,0.659806001142305,0.7950399030829097,0.9346982307251022,0.8362144636270877,0.9108026106877595,0.8868486719532948,0.7873384766044856,0.8810177668196791,0.0,0.0,0.0
20,0.1603339761272073,0.8882120108023015,91.7017367951385,0.8209896576383805,0.8988756447145704,0.9141688860026247,0.8695199664862691,0.9302066648911133,0.985129672113705,0.9440224290557065,0.9712052854392816,0.7863021107861274,0.6711763517513197,0.8032382112731026,0.9250509929975688,0.8364347183867445,0.9109332447401436,0.8777013256926088,0.7837948225118626,0.878794817229211,0.0,0.0,0.0
21,0.15298362206667662,0.8857243731614735,91.51908834165127,0.8177991739644407,0.8968413779363397,0.9280204563974636,0.8631666066512562,0.926558691605857,0.9804820146684081,0.9436215988480122,0.9709931186268956,0.7807490241877418,0.6650023181159292,0.7988004711830402,0.9123047924311822,0.8356089005987765,0.9104432870490009,0.8672962193210786,0.7815964456082289,0.8774113212169049,0.004021879021879022,0.003158559696778269,0.006297229219143577
22,0.15783422241359948,0.8826442052689417,91.28859422972761,0.8146025110535824,0.8949497913570991,0.9170970565308839,0.8580462091348747,0.9236005056455402,0.9730843764469762,0.9381310002243556,0.9680780092942725,0.7726531413747842,0.6620039629537908,0.7966334349495131,0.928518061537621,0.8334248404822996,0.9091453569081778,0.8844609455396598,0.7814065424725911,0.8772916499879914,0.25788288288288286,0.21327833954230974,0.35157363746024783
